request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_101,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 143500 request.
request_102,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1716 request.
request_103,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 368300 request.
request_104,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 17204 request.
request_105,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 53500 request.
request_106,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2207.7 request.
request_107,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2534.4 request.
request_108,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 55308 request.
request_109,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1863.4 request.
request_110,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 22352 request.
request_111,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 16625000 request.
request_112,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 271.7 request.
request_113,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 36500 request.
request_114,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 65300 request.
request_115,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 80500 request.
request_116,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 241200 request.
request_117,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 880 request.
request_118,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 738.1 request.
request_119,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 203500 request.
request_120,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 7714000 request.
request_121,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 633.6 request.
request_122,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 20558000 request.
request_123,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 4076000 request.
request_124,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 3104.2 request.
request_125,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 6468 request.
request_126,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 159600 request.
request_127,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 23980 request.
request_128,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 25168 request.
request_129,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2668.8 request.
request_130,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1978.8 request.
request_131,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1855.2 request.
request_132,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 379.86 request.
request_133,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 15770000 request.
request_134,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 21831000 request.
request_135,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 304.8 request.
request_136,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 560.4 request.
request_137,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 80100 request.
request_138,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1256.94 request.
request_139,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2316 request.
request_140,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 62832 request.
request_141,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 171600 request.
request_142,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1263.6 request.
request_143,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 12584 request.
request_144,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 233.34 request.
request_145,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 217400 request.
request_146,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 449400 request.
request_147,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1129.7 request.
request_148,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 22242 request.
request_149,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 36652 request.
request_150,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 496.1 request.
request_151,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 26999000 request.
request_152,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 13882 request.
request_153,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2830.8 request.
request_154,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1625.8 request.
request_155,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 112500 request.
request_156,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 43076 request.
request_157,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 23503000 request.
request_158,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 242600 request.
request_159,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 13398 request.
request_160,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1246.3 request.
request_161,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 21204000 request.
request_162,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 83923000 request.
request_163,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 19304000 request.
request_164,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 27018000 request.
request_165,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 80600 request.
request_166,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2907.6 request.
request_167,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 43802 request.
request_168,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 49380 request.
request_169,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 41976 request.
request_170,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 36936000 request.
request_171,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1878.8 request.
request_172,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 10200 request.
request_173,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 113000 request.
request_174,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1146.2 request.
request_175,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2346.3 request.
request_176,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1239.7 request.
request_177,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1017.6 request.
request_178,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2938.1 request.
request_179,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 41648000 request.
request_180,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 66500 request.
request_181,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 5059.2 request.
request_182,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 65714 request.
request_183,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 26866000 request.
request_184,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 251900 request.
request_185,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1257.3 request.
request_186,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 26554 request.
request_187,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 187500 request.
request_188,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2464 request.
request_189,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 488.4 request.
request_190,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2557.5 request.
request_191,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 664.4 request.
request_192,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2046 request.
request_193,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1212.2 request.
request_194,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 132800 request.
request_195,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1170.4 request.
request_196,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 762.3 request.
request_197,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 50939000 request.
request_198,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 185800 request.
request_199,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 23674000 request.
request_200,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 21717000 request.
request_201,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 23997000 request.
request_202,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 123900 request.
request_203,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1442.1 request.
request_204,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 588.74 request.
request_205,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 10621000 request.
request_206,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1404.7 request.
request_207,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 11830 request.
request_208,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 4413000 request.
request_209,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 56914 request.
request_210,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1360.02 request.
request_211,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1788.6 request.
request_212,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 71934000 request.
request_213,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 3362.4 request.
request_214,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 69750 request.
request_215,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 29986 request.
request_216,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 3332.4 request.
request_217,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 37180 request.
request_218,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 61142000 request.
request_219,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1673.1 request.
request_220,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 3118.5 request.
request_221,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 109800 request.
request_222,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 34078 request.
request_223,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 898.7 request.
request_224,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 10327000 request.
request_225,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 22059000 request.
request_226,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 157000 request.
request_227,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 259700 request.
request_228,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 63327000 request.
request_229,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1526.8 request.
request_230,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 3537.6 request.
request_231,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 35706 request.
request_232,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1970.1 request.
request_233,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 6241000 request.
request_234,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1213.3 request.
request_235,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 967.2 request.
request_236,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 52383000 request.
request_237,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 23826000 request.
request_238,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 663.6 request.
request_239,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 642 request.
request_240,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 101200 request.
request_241,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 21052000 request.
request_242,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1966.8 request.
request_243,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 17468 request.
request_244,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 49918 request.
request_245,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 128500 request.
request_246,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 64086 request.
request_247,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1059.3 request.
request_248,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1965.6 request.
request_249,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 643.2 request.
request_250,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 124278 request.
request_251,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1513.6 request.
request_252,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 28082000 request.
request_253,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2840.2 request.
request_254,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 3535.2 request.
request_255,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 3345000 request.
request_256,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 218700 request.
request_257,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1352.4 request.
request_258,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1113.6 request.
request_259,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 935 request.
request_260,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 52079000 request.
request_261,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1830.4 request.
request_262,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 9236000 request.
request_263,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 51546 request.
request_264,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 111300 request.
request_265,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 45970 request.
request_266,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 935 request.
request_267,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 1925 request.
request_268,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2426.6 request.
request_269,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 15490 request.
request_270,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 3028.8 request.
request_271,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 91300 request.
request_272,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 13585000 request.
request_273,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 15861000 request.
request_274,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 2713.7 request.
request_275,0,not_affordable,not_recommended,none,,none,Baseline: no safe plan computed yet for the 15884000 request.
