user_id,S1_outflow_regularity,S2_committed_share,S3_commitment_load,S4_commitment_fluctuation,S5_discretionary_share,S6_debt_service,S7_payment_friction,spending_factor,_monthly_income,_monthly_outflow,_dti,_discretionary_share,T1_income_regularity,T2_income_confirmation,T3_debt_stability,T4_liability_stability,T5_savings_behaviour,preference_multiplier,stability_factor,spending_band,stability_band
user_14,79.28,67.24,44.16,89.3,96.71,57.06,100,73.9,2717.0,2158.96,0.13,0.06,80.0,80.0,100.0,100.0,68.46,1.01,84.5,steady,dependable
user_15,82.56,61.15,51.69,95.61,80.38,83.14,100,76.0,1661.0,1274.83,0.05,0.1,100.0,80.0,100.0,100.0,77.5,1.0,90.5,steady,dependable
user_16,76.98,56.06,48.31,85.47,57.01,65.8,100,67.1,173000.0,156700.67,0.1,0.16,100.0,60.0,100.0,90.0,31.41,1.05,78.5,mixed,dependable
user_17,75.99,53.64,48.09,89.58,82.3,51.13,100,69.3,206000.0,184097.9,0.15,0.09,100.0,85.0,100.0,100.0,35.44,1.02,85.0,mixed,dependable
user_18,91.1,47.26,75.42,72.9,28.89,100.0,100,72.0,2310.0,1122.37,0.0,0.23,100.0,60.0,100.0,100.0,100.0,1.06,95.4,steady,dependable
user_19,91.6,66.77,42.17,85.11,98.04,69.85,100,77.0,131000.0,109690.05,0.09,0.05,100.0,60.0,100.0,100.0,54.22,0.99,80.0,steady,dependable
user_20,50.36,55.71,68.23,82.62,59.2,100.0,100,69.2,108000.0,58524.98,0.0,0.15,100.0,60.0,100.0,95.86,100.0,1.06,94.7,mixed,dependable
user_21,23.12,57.08,60.15,93.43,47.54,100.0,100,61.7,2256.0,1503.2,0.0,0.18,100.0,85.0,100.0,97.65,100.0,1.09,100.0,mixed,dependable
user_22,28.62,48.45,61.41,83.06,55.5,100.0,100,61.9,616.0,458.79,0.0,0.16,100.0,60.0,100.0,93.02,85.07,1.02,87.7,mixed,dependable
user_23,35.68,68.64,34.74,85.12,100.0,57.37,100,63.6,45760.0,40729.66,0.13,0.03,100.0,60.0,100.0,96.61,36.64,1.04,79.9,mixed,dependable
user_24,38.93,45.35,57.38,90.65,24.43,100.0,100,58.8,61000.0,53977.9,0.0,0.24,100.0,60.0,100.0,97.0,38.37,1.02,78.8,mixed,dependable
user_25,87.73,42.46,65.27,90.09,8.62,100.0,85,65.8,28499994.0,23473514.43,0.0,0.28,100.0,85.0,75.0,100.0,58.79,1.05,88.5,mixed,dependable
user_26,79.78,60.26,57.48,86.71,47.28,100.0,80,70.3,30854712.49,20558114.56,0.0,0.18,78.92,70.0,100.0,100.0,100.0,1.09,95.1,steady,dependable
user_27,75.59,47.88,64.21,86.63,31.87,100.0,100,68.6,32978.93,24177.17,0.0,0.22,91.01,35.0,100.0,100.0,88.96,1.05,83.3,mixed,dependable
user_28,88.7,53.97,53.86,85.6,71.86,55.92,100,71.5,1452.0,1214.69,0.13,0.12,100.0,60.0,100.0,100.0,54.48,1.05,84.9,steady,dependable
user_29,94.46,54.97,65.08,80.32,64.38,100.0,100,77.8,48165.7,29311.72,0.0,0.14,98.56,20.0,100.0,100.0,100.0,1.02,81.2,steady,dependable
user_30,66.46,59.85,52.89,81.72,46.84,100.0,100,68.0,1120.61,904.59,0.0,0.18,92.1,60.0,100.0,100.0,64.26,1.02,82.5,mixed,dependable
user_31,85.21,48.34,70.71,84.74,51.53,100.0,100,74.6,27740000.0,16167566.09,0.0,0.17,84.55,85.0,100.0,100.0,100.0,1.07,98.9,steady,dependable
user_32,72.48,54.41,46.15,90.93,69.33,71.48,100,68.5,54120.0,51007.78,0.09,0.13,100.0,80.0,100.0,100.0,19.17,1.07,84.4,mixed,dependable
user_33,77.69,44.45,60.95,85.57,5.52,100.0,100,63.8,150000.0,134955.46,0.0,0.29,100.0,60.0,100.0,100.0,33.43,1.07,82.1,mixed,dependable
user_34,62.52,57.14,63.03,86.22,45.22,100.0,100,69.1,182991.34,120837.34,0.0,0.19,86.13,70.0,100.0,100.0,100.0,1.09,97.0,mixed,dependable
user_35,83.42,56.82,57.2,88.58,73.05,81.28,100,74.6,162000.0,120778.95,0.06,0.12,100.0,60.0,100.0,100.0,84.82,1.05,91.3,steady,dependable
user_36,81.29,44.6,66.42,78.64,29.85,100.0,100,68.6,2330.64,1614.01,0.0,0.23,100.0,80.0,100.0,100.0,100.0,1.04,98.8,mixed,dependable
user_37,84.41,54.51,44.92,95.81,65.64,53.45,100,68.8,21090000.0,21192271.75,0.14,0.14,100.0,60.0,100.0,100.0,0.0,1.05,73.5,mixed,dependable
user_38,0.0,47.77,69.81,78.99,73.96,100.0,100,60.1,737.0,416.95,0.0,0.12,100.0,60.0,100.0,100.0,100.0,1.04,93.6,mixed,dependable
user_39,78.71,45.55,56.98,85.65,0.0,100.0,100,62.5,253989.84,219517.93,0.0,0.31,100.0,85.0,100.0,100.0,45.24,1.05,89.6,mixed,dependable
user_40,80.52,59.78,43.04,87.74,71.76,78.79,100,71.1,1760.0,1649.43,0.06,0.12,100.0,80.0,100.0,97.56,20.94,1.05,82.8,steady,dependable
user_41,80.59,45.4,63.39,86.32,31.16,100.0,100,68.9,42559991.04,33517122.44,0.0,0.22,100.0,85.0,100.0,93.14,70.82,1.05,93.9,mixed,dependable
user_42,91.05,45.1,60.22,86.54,11.56,100.0,100,67.4,147114.29,129931.41,0.0,0.27,81.73,50.0,100.0,94.49,38.93,1.05,73.4,mixed,dependable
user_43,76.59,67.51,60.16,92.89,82.06,77.07,100,76.8,32870000.0,19450125.93,0.07,0.09,100.0,80.0,100.0,96.18,100.0,1.09,100.0,steady,dependable
user_44,88.2,57.38,45.66,89.89,73.13,63.33,100,71.7,115000.0,104681.28,0.11,0.12,100.0,80.0,100.0,95.8,29.91,1.05,84.4,steady,dependable
user_45,75.07,50.86,59.9,77.37,37.14,100.0,85,66.4,13486200.0,10076637.4,0.0,0.21,100.0,80.0,75.0,100.0,84.27,1.06,93.4,mixed,dependable
user_46,41.07,44.46,58.31,91.77,57.76,67.13,90,60.1,145000.0,123866.16,0.1,0.16,100.0,85.0,100.0,100.0,48.58,1.02,87.7,mixed,dependable
user_47,84.47,52.42,51.15,90.88,40.68,100.0,100,70.2,33354914.35,31277548.98,0.0,0.2,92.8,35.0,100.0,100.0,20.76,1.07,70.7,steady,dependable
user_48,95.01,47.88,55.11,90.15,0.0,100.0,100,66.2,81996.72,75610.4,0.0,0.3,100.0,60.0,100.0,100.0,25.96,1.07,80.5,mixed,dependable
user_49,77.51,49.98,69.96,82.87,47.89,100.0,100,72.5,43700000.0,25247174.9,0.0,0.18,84.55,45.0,100.0,100.0,100.0,1.0,82.4,steady,dependable
user_50,82.59,69.69,40.02,83.4,99.99,63.25,100,74.6,125167.04,106373.42,0.11,0.05,82.07,50.0,100.0,100.0,50.05,1.04,75.9,steady,dependable
user_51,77.44,46.73,59.7,87.21,30.93,100.0,100,67.8,10532272.01,8646935.76,0.0,0.22,88.58,60.0,100.0,100.0,59.67,1.05,83.0,mixed,dependable
user_52,80.63,72.85,52.38,86.49,82.65,66.91,100,75.3,69000.0,45608.95,0.1,0.09,100.0,80.0,100.0,100.0,100.0,1.07,100.0,steady,dependable
user_53,67.85,62.2,42.83,89.89,71.99,46.41,100,65.9,2880.0,2540.61,0.16,0.12,100.0,60.0,100.0,100.0,39.28,1.02,79.4,mixed,dependable
user_54,82.32,42.64,70.05,79.4,30.71,100.0,100,69.4,33118.8,21785.98,0.0,0.22,100.0,80.0,100.0,100.0,100.0,0.99,94.0,mixed,dependable
user_55,79.4,52.6,58.53,87.33,64.33,76.0,75,69.0,216000.0,165100.95,0.07,0.14,100.0,60.0,50.0,93.61,78.55,1.02,78.8,mixed,dependable
user_56,80.45,51.86,69.93,78.2,51.79,100.0,100,73.4,2388.0,1359.76,0.0,0.17,100.0,85.0,100.0,100.0,100.0,1.01,97.2,steady,dependable
user_57,79.97,60.24,61.3,86.52,60.08,100.0,100,75.0,50160.0,32885.56,0.0,0.15,100.0,60.0,100.0,100.0,100.0,1.09,98.1,steady,dependable
user_58,81.1,52.75,61.46,85.64,45.51,100.0,100,71.8,27125589.08,19392129.25,0.0,0.19,81.42,50.0,100.0,100.0,95.03,1.07,87.6,steady,dependable
user_59,85.67,45.81,63.76,88.97,34.21,100.0,100,70.8,206385.57,152487.53,0.0,0.21,92.4,35.0,100.0,100.0,87.05,1.02,80.8,steady,dependable
user_60,87.91,42.14,64.12,85.39,9.14,100.0,100,66.6,530.4,451.02,0.0,0.28,80.22,45.0,100.0,93.4,49.89,1.05,73.8,mixed,dependable
user_61,66.4,71.13,50.81,84.77,82.85,46.13,100,69.6,44313.68,29886.76,0.16,0.09,91.28,20.0,100.0,94.83,100.0,1.04,80.1,mixed,dependable
user_62,58.29,55.51,63.98,84.17,36.21,100.0,100,66.6,1964.61,1308.71,0.0,0.21,81.2,70.0,100.0,92.62,100.0,1.07,92.8,mixed,dependable
user_63,87.64,44.58,61.7,87.8,0.7,100.0,100,65.4,189992.4,161290.24,0.0,0.3,100.0,85.0,100.0,95.71,50.36,1.02,87.4,mixed,dependable
user_64,87.57,42.59,65.08,84.45,10.51,100.0,100,66.9,54997.8,44729.55,0.0,0.27,100.0,60.0,100.0,95.93,62.23,1.0,81.8,mixed,dependable
user_65,59.66,54.09,66.46,84.92,53.71,100.0,85,68.4,22220.0,13589.41,0.0,0.17,100.0,60.0,75.0,100.0,100.0,0.99,85.4,mixed,dependable
user_66,78.69,50.05,64.24,80.91,31.62,100.0,90,67.9,98360.4,65742.46,0.0,0.22,83.34,70.0,100.0,100.0,100.0,1.07,94.5,mixed,dependable
user_67,75.64,49.05,74.76,87.13,35.53,100.0,90,70.5,2844.0,1441.94,0.0,0.21,84.55,85.0,100.0,100.0,100.0,1.05,97.0,steady,dependable
user_68,84.84,65.79,43.89,78.87,100.0,76.23,100,76.1,2496.0,2135.46,0.07,0.03,100.0,50.0,100.0,100.0,48.15,0.99,76.4,steady,dependable
user_69,84.07,57.25,47.16,88.0,60.1,65.73,100,69.2,1177.0,1086.38,0.1,0.15,100.0,60.0,100.0,90.0,25.66,1.07,78.8,mixed,dependable
user_70,9.7,65.76,51.56,88.48,86.15,69.21,100,60.8,203000.0,139293.42,0.09,0.08,100.0,60.0,100.0,100.0,100.0,1.07,96.3,mixed,dependable
user_71,88.7,44.27,55.27,87.81,17.35,100.0,100,66.8,11019997.68,10139356.25,0.0,0.26,100.0,60.0,100.0,100.0,26.64,1.05,79.1,mixed,dependable
user_72,79.96,55.58,52.05,87.8,63.02,78.43,100,70.8,18700.0,15009.03,0.06,0.14,100.0,80.0,100.0,100.0,65.79,1.07,94.3,steady,dependable
user_73,85.33,55.7,55.96,82.25,53.13,72.22,100,70.0,132000.0,105021.37,0.08,0.17,100.0,60.0,100.0,90.0,68.13,1.07,87.9,steady,dependable
user_74,61.53,59.03,52.43,84.09,41.91,100.0,100,66.3,20613.94,17085.3,0.0,0.2,80.06,70.0,100.0,100.0,57.06,1.07,84.5,mixed,dependable
user_75,66.69,60.41,62.11,81.22,52.84,100.0,100,70.9,50820.0,30638.49,0.0,0.17,100.0,0.0,100.0,100.0,100.0,1.04,78.0,steady,dependable
user_76,72.88,47.91,44.48,89.09,34.55,100.0,100,64.7,1843.2,2057.02,0.0,0.21,100.0,60.0,100.0,100.0,0.0,1.02,71.4,mixed,dependable
user_77,75.95,64.8,45.31,81.15,88.39,62.46,100,71.6,111000.0,91862.88,0.11,0.08,100.0,60.0,100.0,100.0,57.47,1.02,83.1,steady,dependable
user_78,34.12,41.97,56.77,86.3,21.41,100.0,100,56.3,89000.0,83563.36,0.0,0.25,100.0,60.0,100.0,100.0,20.36,1.07,79.3,mixed,dependable
user_79,91.42,42.29,56.71,87.13,0.0,100.0,100,64.7,1313.76,1236.03,0.0,0.31,100.0,85.0,100.0,100.0,19.72,1.02,81.8,mixed,dependable
user_80,87.15,59.49,9.79,88.27,80.9,68.35,100,66.1,94800.0,142036.01,0.09,0.1,100.0,60.0,100.0,92.92,0.0,1.02,70.3,mixed,dependable
user_81,78.91,60.75,41.05,86.37,71.49,46.11,100,67.1,2808.0,2609.99,0.16,0.12,100.0,60.0,100.0,83.84,23.51,1.07,77.3,mixed,dependable
user_82,85.26,50.14,54.67,91.86,50.67,53.58,100,67.6,1752.0,1542.04,0.14,0.17,100.0,60.0,100.0,94.81,39.95,1.05,81.1,mixed,dependable
user_83,83.43,57.56,59.57,79.21,70.33,100.0,100,75.7,62000.0,42662.5,0.0,0.12,80.0,80.0,100.0,95.48,100.0,0.99,88.4,steady,dependable
user_84,86.82,42.59,63.61,86.51,0.0,100.0,100,65.1,107995.68,89887.01,0.0,0.3,100.0,60.0,100.0,94.37,55.89,1.09,87.6,mixed,dependable
user_85,68.02,49.41,71.93,88.12,34.18,100.0,85,67.8,11970000.0,6577888.71,0.0,0.21,84.55,45.0,75.0,100.0,100.0,1.02,80.2,mixed,dependable
user_86,89.11,62.89,40.98,83.51,96.85,57.53,90,73.1,124000.0,109935.18,0.13,0.06,100.0,85.0,100.0,100.0,37.81,1.04,87.2,steady,dependable
user_87,87.18,46.31,56.66,92.07,9.23,100.0,100,66.3,251000.0,238267.88,0.0,0.28,80.0,80.0,100.0,100.0,16.91,1.05,77.1,mixed,dependable
user_88,0.61,64.97,56.86,90.09,80.15,68.14,100,59.1,34760.0,21707.6,0.1,0.1,100.0,60.0,100.0,100.0,100.0,1.04,93.6,mixed,dependable
user_89,85.96,50.24,54.0,84.28,63.7,56.46,100,69.2,15200000.0,13412140.07,0.13,0.14,100.0,85.0,100.0,100.0,39.21,1.02,85.8,mixed,dependable
user_90,69.61,55.31,67.57,88.68,32.67,100.0,100,69.5,13615.68,7971.71,0.0,0.22,90.29,70.0,100.0,100.0,100.0,1.07,96.4,mixed,dependable
user_91,86.38,48.5,54.0,88.94,45.81,76.26,75,66.2,2387.0,2168.11,0.07,0.19,100.0,60.0,50.0,93.05,30.57,1.07,72.3,mixed,dependable
user_92,83.18,50.65,51.79,83.55,59.86,100.0,100,71.9,29568.0,27398.59,0.0,0.15,100.0,60.0,100.0,100.0,24.46,1.06,79.4,steady,dependable
user_93,2.36,58.5,58.74,82.71,59.28,100.0,100,58.2,2412.0,1635.98,0.0,0.15,100.0,60.0,100.0,100.0,100.0,1.09,98.1,mixed,dependable
user_94,68.62,58.49,55.63,87.67,33.17,100.0,100,67.4,842.49,671.12,0.0,0.22,91.26,70.0,100.0,100.0,67.8,1.07,89.7,mixed,dependable
user_95,90.33,70.54,38.55,87.41,100.0,49.67,100,75.1,251000.0,214342.37,0.15,0.05,100.0,50.0,100.0,100.0,48.68,0.97,74.9,steady,dependable
user_96,69.23,55.48,48.04,87.49,70.32,67.08,100,67.8,80000.0,70171.97,0.1,0.12,100.0,85.0,100.0,100.0,40.95,1.02,86.1,mixed,dependable
user_97,69.91,73.25,50.03,80.41,85.98,66.77,100,72.6,35420.0,24352.4,0.1,0.09,100.0,85.0,100.0,100.0,100.0,1.04,100.0,steady,dependable
user_98,94.42,39.84,65.19,89.25,5.63,100.0,100,67.7,36080.0,30900.89,0.0,0.29,100.0,60.0,100.0,100.0,47.85,1.07,85.1,mixed,dependable
user_99,65.57,44.81,67.46,76.42,38.38,100.0,100,66.7,44444.4,29319.6,0.0,0.2,100.0,85.0,100.0,100.0,100.0,1.06,100.0,mixed,dependable
user_100,75.89,51.65,56.17,83.04,52.01,82.65,100,68.5,42680.0,36057.91,0.05,0.17,100.0,85.0,100.0,97.59,51.72,1.02,88.0,mixed,dependable
user_101,8.37,51.29,64.2,81.19,68.21,100.0,100,60.6,254000.0,158370.04,0.0,0.13,100.0,60.0,100.0,93.83,100.0,1.06,94.4,mixed,dependable
user_102,74.12,57.72,64.36,79.0,43.64,100.0,100,70.8,1253.28,795.1,0.0,0.19,86.72,70.0,100.0,93.14,100.0,1.04,91.7,steady,dependable
user_103,85.8,54.38,70.14,87.08,51.76,100.0,100,75.8,229000.0,124293.33,0.0,0.17,84.55,45.0,100.0,96.73,100.0,1.09,89.3,steady,dependable
user_104,83.79,67.74,6.1,81.22,100.0,21.1,100,63.4,21516.0,28616.66,0.24,0.03,100.0,60.0,100.0,90.87,0.0,1.02,70.0,mixed,dependable
user_105,28.05,43.7,61.71,85.86,13.81,100.0,85,53.7,117000.0,98315.06,0.0,0.27,100.0,60.0,75.0,100.0,53.23,1.05,80.7,mixed,dependable
user_106,66.71,68.77,52.66,83.31,79.01,60.51,90,69.4,1815.0,1176.76,0.12,0.1,100.0,80.0,100.0,100.0,100.0,1.07,100.0,mixed,dependable
user_107,91.99,66.71,0.0,92.27,74.52,100.0,100,68.8,,2164.13,0.0,0.11,0.0,80.0,100.0,100.0,0.0,1.02,51.0,mixed,watch
user_108,60.64,52.07,54.11,76.73,43.12,100.0,90,63.9,20064.0,17163.81,0.0,0.19,100.0,60.0,100.0,100.0,48.18,1.04,82.8,mixed,dependable
user_109,89.62,48.3,58.35,85.58,13.33,100.0,100,67.4,2395.68,2066.81,0.0,0.27,100.0,85.0,100.0,100.0,45.76,1.0,85.4,mixed,dependable
user_110,76.84,62.79,56.33,88.32,56.92,100.0,100,73.4,15674.51,11328.08,0.0,0.16,93.49,70.0,100.0,100.0,92.43,1.02,91.1,steady,dependable
user_111,94.87,54.75,65.96,86.78,55.74,100.0,100,77.4,26220000.0,15110632.18,0.0,0.16,100.0,0.0,100.0,100.0,100.0,1.09,81.8,steady,dependable
user_112,88.91,55.38,45.37,94.03,73.07,56.94,100,71.2,627.0,594.4,0.13,0.12,100.0,80.0,100.0,100.0,17.33,1.07,84.0,steady,dependable
user_113,82.03,42.4,61.61,83.64,0.0,100.0,100,63.5,107995.68,96223.93,0.0,0.31,100.0,75.0,100.0,100.0,36.33,1.05,85.1,mixed,dependable
user_114,89.65,44.32,60.82,93.23,24.48,100.0,100,69.7,148200.0,134084.59,0.0,0.24,80.22,45.0,100.0,100.0,31.75,1.07,72.4,mixed,dependable
user_115,0.7,64.94,59.95,86.51,85.34,62.71,100,59.6,59000.0,33449.78,0.11,0.09,100.0,60.0,100.0,100.0,100.0,1.09,98.1,mixed,dependable
user_116,73.2,58.56,42.23,88.35,75.73,72.45,100,69.3,124000.0,123932.87,0.08,0.11,100.0,85.0,100.0,100.0,0.18,1.02,77.8,mixed,dependable
user_117,77.03,48.59,67.76,82.0,45.64,100.0,100,71.3,926.64,571.73,0.0,0.19,100.0,80.0,100.0,100.0,100.0,1.06,100.0,steady,dependable
user_118,86.1,57.38,45.03,87.23,62.78,51.69,100,68.1,759.0,707.36,0.14,0.14,100.0,60.0,100.0,100.0,22.68,1.02,76.0,mixed,dependable
user_119,86.15,54.65,65.71,87.41,65.26,100.0,100,77.1,176000.0,101653.4,0.0,0.14,80.0,80.0,100.0,100.0,100.0,0.99,89.1,steady,dependable
user_120,13.83,57.95,57.19,84.2,57.51,100.0,100,59.9,23750000.0,16891297.78,0.0,0.16,100.0,60.0,100.0,97.53,96.26,1.09,96.9,mixed,dependable
user_121,27.52,49.24,56.78,91.63,60.26,100.0,100,62.4,1056.0,846.56,0.0,0.15,100.0,85.0,100.0,97.63,66.11,1.07,95.4,mixed,dependable
user_122,58.21,54.98,72.9,81.16,42.56,100.0,100,69.0,17765527.43,9056120.4,0.0,0.19,78.21,70.0,100.0,94.65,100.0,1.04,89.7,mixed,dependable
user_123,83.28,52.25,59.99,87.84,48.99,100.0,100,72.6,19953016.17,15130890.62,0.0,0.18,69.78,35.0,100.0,93.04,80.56,1.07,76.3,steady,dependable
user_124,75.45,74.02,49.32,80.99,86.36,53.47,100,72.5,2629.0,1728.56,0.14,0.08,100.0,85.0,100.0,97.72,100.0,1.02,97.8,steady,dependable
user_125,75.58,44.32,62.26,86.95,16.17,100.0,85,63.8,14960.0,12785.24,0.0,0.26,100.0,60.0,75.0,100.0,48.46,1.07,81.3,mixed,dependable
user_126,83.49,59.32,61.18,88.65,50.95,100.0,90,73.3,142746.05,85560.5,0.0,0.17,83.59,70.0,100.0,100.0,100.0,1.09,96.4,steady,dependable
user_127,71.99,53.04,55.39,93.2,58.63,80.04,100,69.6,50160.0,41188.14,0.06,0.15,80.0,80.0,100.0,100.0,59.62,1.07,87.7,mixed,dependable
user_128,83.35,55.89,68.51,74.66,47.9,100.0,100,73.4,55220.0,31179.41,0.0,0.18,100.0,60.0,100.0,100.0,100.0,1.06,95.4,steady,dependable
user_129,22.29,54.31,62.48,84.02,51.51,100.0,100,61.2,1020.0,676.18,0.0,0.17,100.0,60.0,100.0,100.0,100.0,1.02,91.8,mixed,dependable
user_130,70.25,48.25,71.75,87.4,40.38,100.0,100,70.4,3024.0,1799.55,0.0,0.2,84.55,45.0,100.0,100.0,100.0,1.07,88.2,steady,dependable
user_131,81.1,68.88,44.6,86.11,100.0,56.5,100,74.7,1632.0,1242.72,0.13,0.05,100.0,50.0,100.0,100.0,79.51,0.97,80.9,steady,dependable
user_132,79.05,41.14,62.53,86.15,0.0,100.0,100,63.1,1193.4,1092.97,0.0,0.33,80.22,45.0,100.0,100.0,28.05,1.07,71.6,mixed,dependable
user_133,82.27,73.47,54.69,84.82,83.06,50.33,100,74.4,16383851.46,10005633.06,0.15,0.09,86.5,20.0,100.0,100.0,100.0,1.0,76.6,steady,dependable
user_134,38.01,55.35,49.77,87.32,68.5,81.27,100,63.0,24510000.0,21330548.41,0.06,0.13,100.0,85.0,100.0,100.0,43.24,1.05,89.1,mixed,dependable
user_135,81.75,52.36,58.62,70.06,38.82,100.0,100,68.8,645.84,477.68,0.0,0.2,100.0,80.0,100.0,100.0,86.79,1.06,97.9,mixed,dependable
user_136,82.79,64.08,48.5,77.55,97.28,76.1,100,75.8,1548.0,1222.14,0.07,0.06,100.0,85.0,100.0,100.0,70.17,1.02,92.1,steady,dependable
user_137,79.66,56.27,44.95,84.1,61.7,58.04,100,66.8,114000.0,109084.49,0.13,0.15,100.0,60.0,100.0,90.0,14.37,1.07,76.4,mixed,dependable
user_138,54.64,58.08,64.63,86.4,35.46,100.0,90,65.5,2695.0,1683.2,0.0,0.21,100.0,60.0,100.0,95.0,100.0,1.04,92.8,mixed,dependable
user_139,82.92,43.9,64.65,84.73,34.95,100.0,75,67.3,1824.0,1381.34,0.0,0.21,100.0,85.0,50.0,95.5,80.89,1.02,85.9,mixed,dependable
user_140,83.76,60.76,42.51,89.08,74.99,69.2,100,71.4,31900.0,29704.25,0.09,0.11,100.0,80.0,100.0,93.72,22.94,1.0,78.6,steady,dependable
user_141,34.97,43.28,59.86,83.11,11.08,100.0,100,55.4,97000.0,86947.56,0.0,0.27,100.0,60.0,100.0,96.07,34.54,1.0,76.3,mixed,dependable
user_142,81.04,59.75,63.09,84.07,55.86,100.0,100,74.6,1975.42,1263.95,0.0,0.16,81.95,70.0,100.0,96.71,100.0,1.07,93.6,steady,dependable
user_143,41.37,56.29,47.2,95.25,71.28,60.54,100,62.4,14960.0,13122.12,0.12,0.12,100.0,60.0,100.0,97.15,40.95,1.07,83.2,mixed,dependable
user_144,82.15,56.3,45.43,89.23,70.72,54.09,100,68.9,864.0,806.57,0.14,0.12,100.0,80.0,100.0,94.1,22.16,1.07,84.0,mixed,dependable
user_145,86.89,51.21,58.98,86.71,56.39,76.1,85,70.1,258000.0,201819.53,0.07,0.16,100.0,60.0,75.0,100.0,72.58,1.02,82.4,steady,dependable
user_146,74.02,49.12,68.01,78.32,60.17,100.0,90,71.6,168000.0,101191.45,0.0,0.15,100.0,85.0,100.0,100.0,100.0,1.04,100.0,steady,dependable
user_147,56.73,59.04,61.85,79.9,47.17,100.0,100,67.6,1529.0,972.08,0.0,0.18,80.0,80.0,100.0,100.0,100.0,1.02,91.8,mixed,dependable
user_148,37.67,49.1,58.9,87.49,58.47,100.0,100,64.2,35640.0,29013.42,0.0,0.15,100.0,60.0,100.0,100.0,61.98,1.02,84.0,mixed,dependable
user_149,79.25,67.36,41.1,78.79,87.88,66.11,90,70.8,52360.0,44854.46,0.1,0.08,100.0,85.0,100.0,100.0,47.78,0.99,84.9,steady,dependable
user_150,72.87,45.66,57.22,86.84,3.84,100.0,100,62.1,893.75,823.86,0.0,0.29,80.22,45.0,100.0,100.0,26.07,1.02,67.8,mixed,watch
user_151,90.87,70.91,53.19,88.83,87.55,55.21,100,77.0,46170000.0,28717000.24,0.13,0.08,100.0,80.0,100.0,100.0,100.0,1.07,100.0,steady,dependable
user_152,79.03,60.39,41.74,90.38,79.25,54.03,100,69.5,13640.0,12940.42,0.14,0.1,100.0,60.0,100.0,100.0,17.1,1.02,74.9,mixed,dependable
user_153,83.6,44.28,56.15,90.7,6.82,100.0,100,64.7,1630.64,1651.29,0.0,0.28,100.0,60.0,100.0,100.0,0.0,1.07,74.9,mixed,dependable
user_154,69.62,54.62,46.17,90.75,62.57,56.03,100,65.4,1607.27,1513.44,0.13,0.14,83.66,50.0,100.0,100.0,19.46,1.0,67.3,mixed,watch
user_155,84.64,56.34,62.58,77.76,62.73,100.0,100,75.1,84000.0,52502.46,0.0,0.14,80.0,80.0,100.0,100.0,100.0,1.04,93.6,steady,dependable
